"State","Speed","Gender","Age"
"Colorado",35,"Male",53
"New York",0,"Male",44
"Florida",100,"Male",34
"North Carolina",35,"Female",52
"Virginia",50,"Male",3
"Florida",50,"Female",19
"Indiana",0,"Male",35
"Arizona",65,"Male",21
"California",68,"Male",25
"Florida",45,"Male",29
"Louisiana",0,"Male",30
"Florida",45,"Male",37
"Florida",40,"Male",67
"California",55,"Female",59
"Alabama",0,"Male",60
"Florida",85,"Female",24
"Georgia",0,"Male",65
"Wisconsin",30,"Male",55
"Florida",55,"Female",24
"Arizona",55,"Male",15
"California",20,"Male",21
"Florida",65,"Male",68
"Pennsylvania",65,"Female",40
"Michigan",0,"Male",19
"North Carolina",45,"Female",36
"Louisiana",55,"Male",14
"North Carolina",55,"Male",24
"Mississippi",55,"Male",58
"South Carolina",10,"Male",36
"California",0,"Male",21
"Florida",70,"Male",31
"Alabama",94,"Male",51
"New York",50,"Male",50
"Florida",30,"Female",40
"South Carolina",65,"Female",20
"Texas",0,"Male",26
"California",40,"Male",33
"Nevada",0,"Male",46
"California",68,"Male",50
"California",70,"Male",26
"Mississippi",45,"Male",55
"South Carolina",60,"Male",22
"Arizona",75,"Female",55
"Virginia",15,"Female",75
"Pennsylvania",50,"Male",22
"Texas",0,"Male",70
"Virginia",55,"Male",35
"Florida",0,"Female",14
"Missouri",0,"Male",23
"Wyoming",55,"Male",47
"Louisiana",80,"Male",27
"Utah",0,"Female",21
"Illinois",0,"Female",18
"Florida",5,"Male",63
"Idaho",0,"Male",51
"California",43,"Male",70
"Arizona",45,"Male",22
"Louisiana",75,"Female",24
"Missouri",0,"Male",56
"North Carolina",65,"Male",19
"Wisconsin",25,"Male",62
"Virginia",75,"Male",54
"California",50,"Male",85
"Florida",10,"Female",35
"Florida",45,"Female",19
"Tennessee",0,"Male",62
"Louisiana",35,"Female",27
"California",40,"Female",19
"Colorado",65,"Female",28
"Wisconsin",68,"Male",33
"Wisconsin",55,"Female",55
"Virginia",55,"Female",55
"North Carolina",55,"Male",17
"Florida",0,"Female",26
"Florida",0,"Male",73
"Alabama",55,"Male",17
"Pennsylvania",65,"Male",22
"Florida",0,"Male",56
"Louisiana",35,"Male",37
"South Carolina",70,"Female",24
"Wyoming",65,"Male",45
"Alabama",50,"Male",42
"Florida",55,"Male",57
"Virginia",60,"Male",23
"Texas",0,"Male",30
"Florida",0,"Male",51
"Virginia",40,"Male",19
"North Carolina",53,"Female",23
"South Carolina",20,"Male",22
"California",65,"Male",23
"Utah",55,"Male",27
"California",25,"Male",50
"North Carolina",97,"Female",19
"Florida",20,"Female",22
"Missouri",49,"Male",10
"California",55,"Male",83
"Florida",60,"Female",41
"South Carolina",55,"Female",62
"Florida",40,"Male",60
"Virginia",55,"Male",51
"California",53,"Male",56
"Florida",100,"Female",19
"Florida",65,"Male",67
"Texas",0,"Male",72
"Florida",55,"Male",18
"Texas",0,"Male",39
"Florida",90,"Male",34
"Florida",10,"Male",90
"Florida",50,"Male",40
"Mississippi",35,"Female",10
"Virginia",30,"Female",29
"Missouri",55,"Male",51
"North Carolina",15,"Female",42
"Florida",50,"Female",50
"Connecticut",0,"Male",41
"Florida",60,"Male",7
"Washington",0,"Male",1
"South Carolina",36,"Female",55
"Florida",45,"Male",19
"Indiana",0,"Male",78
"Arizona",0,"Female",34
"Georgia",0,"Male",29
"Florida",60,"Female",59
"Florida",65,"Male",34
"California",0,"Male",51
"California",72,"Male",24
"Florida",0,"Male",27
"South Carolina",70,"Male",35
"North Carolina",55,"Male",61
"California",60,"Female",36
"Missouri",106,"Female",39
"Pennsylvania",15,"Female",37
"California",0,"Female",15
"New York",0,"Male",73
"Texas",90,"Female",52
"New Jersey",0,"Male",70
"Virginia",70,"Male",28
"Georgia",0,"Male",24
"North Carolina",60,"Male",53
"Ohio",60,"Male",23
"Wyoming",77,"Male",21
"South Carolina",4,"Male",54
"Virginia",55,"Male",36
"Louisiana",16,"Female",19
"Georgia",0,"Male",55
"Arizona",40,"Male",29
"North Carolina",65,"Male",18
"North Carolina",55,"Female",18
"Kentucky",38,"Female",32
"Colorado",50,"Male",77
"South Carolina",40,"Female",25
"Alabama",45,"Female",22
"Ohio",60,"Male",49
"California",48,"Male",73
"Florida",70,"Female",47
"South Carolina",15,"Male",57
"California",65,"Male",50
"North Carolina",35,"Female",28
"Florida",30,"Female",26
"Pennsylvania",55,"Male",38
"Florida",5,"Male",16
"Nevada",53,"Female",34
"Ohio",0,"Male",25
"California",0,"Male",38
"Florida",35,"Female",51
"Florida",15,"Male",54
"North Carolina",60,"Male",33
"Ohio",35,"Male",47
"Florida",35,"Male",42
"Ohio",10,"Female",39
"Minnesota",55,"Male",68
"North Carolina",60,"Male",27
"Kentucky",47,"Female",59
"Virginia",55,"Male",34
"Missouri",55,"Female",5
"Florida",65,"Male",71
"California",75,"Female",12
"Michigan",0,"Male",16
"Florida",84,"Female",20
"North Carolina",60,"Male",28
"Wisconsin",55,"Male",29
"California",0,"Female",18
"Virginia",50,"Female",25
"Texas",0,"Male",46
"North Carolina",5,"Female",39
"Pennsylvania",24,"Female",72
"California",0,"Male",66
"Mississippi",0,"Female",35
"South Carolina",55,"Male",45
"South Carolina",40,"Female",67
"Virginia",60,"Female",4
"North Carolina",15,"Male",22
"Colorado",40,"Male",57
"North Carolina",65,"Male",43
"Alabama",0,"Male",33
"Colorado",15,"Male",43
"Colorado",55,"Female",43
"New Jersey",0,"Male",50
"Alabama",55,"Female",1
"Florida",70,"Male",26
"Ohio",30,"Male",45
"Alabama",10,"Male",63
"Florida",25,"Female",42
"California",0,"Male",34
"Delaware",0,"Male",19
"Alabama",60,"Male",43
"Alabama",55,"Male",63
"Arizona",45,"Female",34
"Hawaii",0,"Female",32
"Missouri",78,"Male",23
"Florida",15,"Female",21
"Louisiana",70,"Male",26
"Illinois",68,"Male",61
"Wisconsin",65,"Female",34
"Florida",0,"Male",29
"South Carolina",94,"Male",28
"Pennsylvania",5,"Female",66
"Louisiana",0,"Male",41
"Virginia",60,"Male",32
"Kentucky",53,"Female",54
"South Dakota",60,"Male",44
"North Carolina",5,"Male",22
"California",45,"Female",44
"North Carolina",45,"Female",34
"Texas",53,"Male",52
"North Carolina",55,"Female",25
"Nevada",0,"Male",60
"Ohio",45,"Female",74
"Alabama",0,"Female",43
"Pennsylvania",45,"Female",58
"Illinois",67,"Male",45
"Arizona",70,"Female",17
"Florida",5,"Female",52
"Nevada",75,"Male",76
"North Carolina",10,"Male",46
"Texas",0,"Male",46
"Florida",0,"Male",85
"California",0,"Male",64
"Alabama",65,"Female",44
"California",0,"Male",43
