"State","Speed","Gender","Age"
"California",70,"Male",55
"Utah",60,"Male",33
"Texas",0,"Female",46
"California",80,"Male",54
"Florida",45,"Male",38
"Virginia",57,"Female",17
"Georgia",0,"Female",18
"Kentucky",35,"Male",64
"South Carolina",55,"Male",41
"Ohio",0,"Male",63
"Florida",55,"Male",11
"Virginia",65,"Male",32
"Texas",81,"Male",20
"Dist of Columbia",0,"Male",37
"Florida",15,"Female",78
"Ohio",40,"Female",10
"California",38,"Female",70
"Mississippi",45,"Female",72
"Texas",0,"Male",37
"Tennessee",0,"Male",64
"Alabama",86,"Male",34
"Illinois",25,"Male",25
"Colorado",30,"Male",70
"South Carolina",11,"Female",38
"Wisconsin",97,"Male",51
"Pennsylvania",25,"Male",64
"Pennsylvania",55,"Male",22
"Florida",0,"Male",46
"Florida",65,"Male",61
"Florida",43,"Male",13
"North Carolina",55,"Female",11
"Florida",40,"Male",9
"North Carolina",55,"Male",30
"Florida",62,"Female",33
"Missouri",95,"Female",19
"California",45,"Female",67
"Virginia",60,"Male",21
"Alabama",3,"Male",57
"California",0,"Female",52
"North Carolina",35,"Male",18
"Wisconsin",55,"Male",80
"Texas",0,"Female",22
"Washington",0,"Male",21
"Pennsylvania",40,"Male",83
"South Carolina",55,"Male",12
"Colorado",45,"Male",20
"South Carolina",60,"Male",22
"Florida",45,"Male",4
"South Carolina",10,"Female",35
"New York",120,"Male",19
"California",50,"Male",25
"Texas",0,"Male",24
"Illinois",0,"Male",60
"Florida",50,"Male",34
"California",65,"Male",61
"Texas",0,"Female",58
"California",65,"Female",64
"Rhode Island",79,"Male",20
"Florida",45,"Male",44
"North Carolina",55,"Male",49
"New York",53,"Female",6
"Illinois",42,"Male",31
"Ohio",0,"Male",54
"Washington",0,"Female",2
"Florida",40,"Male",11
"California",53,"Female",30
"Florida",50,"Male",52
"Florida",55,"Female",78
"Colorado",1,"Female",36
"Pennsylvania",35,"Male",37
"Florida",3,"Male",84
"Louisiana",70,"Male",31
"Arizona",70,"Male",29
"Florida",35,"Male",61
"North Carolina",55,"Male",28
"Montana",56,"Male",65
"Virginia",45,"Female",18
"Tennessee",5,"Male",29
"North Carolina",90,"Male",58
"South Carolina",65,"Male",55
"Alabama",20,"Male",25
"Florida",75,"Female",72
"North Carolina",65,"Female",33
"Kentucky",45,"Male",26
"Louisiana",60,"Male",56
"California",0,"Male",27
"Louisiana",0,"Male",45
"Kentucky",3,"Male",32
"North Carolina",50,"Female",46
"Wyoming",65,"Male",61
"Pennsylvania",50,"Male",52
"Louisiana",0,"Male",15
"Colorado",30,"Male",2
"Pennsylvania",45,"Male",57
"California",0,"Male",76
"Georgia",0,"Female",32
"Texas",0,"Male",16
"Idaho",45,"Male",48
"Alabama",70,"Male",56
"North Carolina",10,"Female",70
"Florida",45,"Male",20
"Ohio",40,"Female",22
"North Dakota",63,"Male",44
"Arizona",65,"Female",22
"Louisiana",55,"Male",52
"Illinois",0,"Male",60
"South Carolina",55,"Male",41
"Minnesota",65,"Female",26
"Florida",65,"Male",68
"Florida",75,"Female",47
"Ohio",40,"Male",43
"Louisiana",0,"Male",56
"Florida",15,"Male",18
"Colorado",30,"Female",28
"Ohio",55,"Female",73
"Arizona",5,"Male",53
"Ohio",40,"Female",21
"California",100,"Female",21
"North Carolina",0,"Male",30
"North Carolina",80,"Male",19
"Florida",10,"Female",61
"Minnesota",0,"Male",61
"California",40,"Female",25
"Virginia",25,"Female",33
"Minnesota",0,"Male",28
"California",40,"Male",44
"South Carolina",55,"Male",4
"Pennsylvania",30,"Female",67
"Mississippi",50,"Female",15
"North Carolina",55,"Male",18
"Wisconsin",75,"Male",27
"Connecticut",33,"Male",26
"South Dakota",62,"Male",72
"Virginia",60,"Male",22
"South Carolina",75,"Male",35
"Florida",35,"Male",61
"Florida",45,"Male",80
"California",0,"Male",55
"Louisiana",65,"Male",22
"Utah",5,"Female",79
"California",0,"Female",54
"Alabama",55,"Female",57
"Pennsylvania",15,"Female",66
"Oregon",0,"Male",51
"Ohio",40,"Male",5
"Nevada",89,"Male",21
"Florida",10,"Male",51
"Florida",5,"Male",61
"Virginia",5,"Female",64
"Maine",0,"Female",54
"Georgia",0,"Female",74
"Florida",0,"Male",57
"California",66,"Male",53
"Florida",35,"Female",96
"North Carolina",32,"Female",38
"South Carolina",65,"Male",39
"North Carolina",55,"Male",42
"South Carolina",40,"Male",36
"Missouri",78,"Female",27
"Utah",45,"Female",35
"Kansas",0,"Female",20
"Florida",70,"Female",17
"California",60,"Male",49
"Pennsylvania",0,"Male",44
"Virginia",55,"Female",20
"California",50,"Male",55
"Florida",43,"Female",14
"South Carolina",50,"Male",23
"Colorado",30,"Female",7
"South Carolina",60,"Female",55
"California",80,"Male",27
"California",54,"Male",27
"Michigan",0,"Female",33
"Pennsylvania",70,"Female",19
"Florida",45,"Female",51
"North Carolina",40,"Male",36
"Florida",45,"Male",22
"New York",7,"Male",58
"California",68,"Male",36
"Florida",30,"Male",36
"Florida",5,"Male",62
"Florida",60,"Male",22
"North Carolina",90,"Male",36
"Indiana",65,"Male",21
"Pennsylvania",52,"Female",11
"Virginia",55,"Male",50
"Virginia",58,"Male",35
"Iowa",0,"Male",21
"Michigan",0,"Male",85
"Illinois",0,"Male",18
"California",45,"Female",58
"Minnesota",30,"Female",16
"Arizona",0,"Male",15
"Missouri",7,"Female",48
"Florida",15,"Male",36
"Pennsylvania",0,"Female",34
"Virginia",45,"Male",39
"Ohio",5,"Male",59
"South Carolina",0,"Male",35
"Pennsylvania",85,"Male",15
"Florida",0,"Male",55
"Texas",0,"Male",73
"Alabama",55,"Female",16
"California",0,"Male",47
"North Carolina",10,"Male",41
"North Carolina",50,"Female",26
"Arizona",80,"Male",18
"Alabama",65,"Male",49
"Ohio",70,"Female",27
"Alabama",55,"Male",35
"California",0,"Male",64
"Florida",25,"Male",92
"Mississippi",55,"Male",69
"Kentucky",8,"Female",73
"Virginia",40,"Male",26
"Virginia",60,"Male",59
"California",0,"Male",38
"Florida",45,"Male",31
"Michigan",0,"Male",52
"Florida",55,"Male",81
"Pennsylvania",0,"Male",45
"Indiana",0,"Male",57
"California",55,"Male",53
"Pennsylvania",0,"Male",47
"California",40,"Male",16
"Indiana",0,"Male",79
"California",55,"Male",21
"Florida",10,"Male",49
"New Jersey",0,"Male",17
"California",0,"Female",66
"California",0,"Male",29
"Oregon",0,"Male",55
"Maryland",0,"Male",33
"North Carolina",65,"Male",49
"Virginia",0,"Female",23
"Colorado",75,"Male",38
"California",0,"Female",37
"New Jersey",0,"Male",16
"Missouri",45,"Female",52
"Alabama",45,"Male",9
"Missouri",48,"Male",67
"Kentucky",64,"Male",24
"Florida",65,"Male",36
"Virginia",35,"Female",32
"Florida",40,"Male",19
"Alabama",45,"Male",65
"Texas",0,"Female",63
"Wisconsin",0,"Male",24
"Pennsylvania",45,"Male",52
"Virginia",70,"Male",27
"Florida",0,"Female",25
"California",55,"Male",48
"North Carolina",0,"Female",75
"New York",40,"Male",28
"North Carolina",15,"Male",61
"Louisiana",70,"Male",44
"North Carolina",5,"Female",66
"Ohio",70,"Male",1
"North Carolina",10,"Female",53
"Nevada",10,"Female",46
"Florida",45,"Male",25
"Florida",25,"Female",43
"Colorado",75,"Male",26
"Arizona",65,"Female",24
"Arizona",48,"Female",47
"North Carolina",0,"Male",56
"South Carolina",50,"Male",53
"Colorado",40,"Female",24
"Wyoming",80,"Female",5
"Louisiana",70,"Male",26
"North Carolina",30,"Male",78
"North Carolina",70,"Male",13
"Wisconsin",75,"Female",34
"Florida",45,"Female",41
"Florida",51,"Male",76
"Florida",50,"Male",15
"Wyoming",65,"Male",23
"South Carolina",55,"Male",18
"Colorado",0,"Female",23
"Arizona",42,"Male",28
"Indiana",0,"Male",47
"Wisconsin",65,"Male",56
"Ohio",0,"Male",26
"Washington",0,"Male",70
"Pennsylvania",49,"Male",32
"Kentucky",65,"Male",35
"Florida",85,"Male",26
"Florida",55,"Male",37
"Virginia",55,"Male",68
"Alabama",55,"Female",32
"Florida",30,"Male",34
"Wyoming",50,"Female",27
"Wisconsin",70,"Male",19
"Florida",15,"Male",36
"South Carolina",40,"Male",32
"North Carolina",55,"Male",67
"North Carolina",20,"Male",18
"Florida",50,"Male",66
"Florida",50,"Female",83
"Pennsylvania",85,"Female",15
"New York",35,"Female",94
"Ohio",45,"Male",58
"Missouri",55,"Female",13
"Florida",50,"Female",63
"Alabama",40,"Female",73
"South Carolina",75,"Male",27
"Washington",0,"Male",4
"South Carolina",25,"Male",49
"North Carolina",65,"Female",42
"Ohio",30,"Male",53
"Utah",75,"Male",25
"Arizona",65,"Female",29
"Virginia",80,"Male",25
"Mississippi",35,"Female",10
"Florida",5,"Female",74
"New York",0,"Female",80
"Virginia",45,"Male",73
"California",68,"Female",20
"Michigan",0,"Female",53
"Ohio",55,"Female",41
"Mississippi",65,"Male",44
"Arizona",12,"Female",16
"South Carolina",55,"Male",72
"Florida",70,"Female",39
"Missouri",0,"Male",65
"California",38,"Female",44
"Florida",0,"Female",64
"Virginia",65,"Female",22
"New Hampshire",42,"Male",87
"Indiana",0,"Male",23
"Missouri",0,"Female",69
"Colorado",65,"Male",46
"Louisiana",55,"Male",50
"Mississippi",50,"Male",13
"California",0,"Female",83
"Colorado",30,"Female",27
"Wisconsin",5,"Male",50
"Wisconsin",70,"Male",51
"Florida",55,"Male",20
